Date,Open,High,Low,Close,Adj Close,Volume
1/1/2017,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482450000
2/1/2017,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000
3/1/2017,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000
4/1/2017,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000
5/1/2017,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000
6/1/2017,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,7214590000
7/1/2017,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,5569720000
8/1/2017,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,6150060000
9/1/2017,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,6342130000
10/1/2017,22423.4707,23485.25,22416,23377.24023,23377.24023,7302910000
11/1/2017,23442.90039,24327.82031,23242.75,24272.34961,24272.34961,7335640000
12/1/2017,24305.40039,24876.07031,23921.90039,24719.2207,24719.2207,6589890000
