Date,Open,High,Low,Close,Adj Close,Volume
1/1/2017,124.959999,143.460007,124.309998,140.710007,140.710007,181772200
2/1/2017,141.199997,145.949997,139.050003,142.130005,142.130005,91432000
3/1/2017,142.839996,148.289993,138.259995,147.809998,147.809998,110692700
4/1/2017,146.699997,153.520004,138.660004,152.199997,152.199997,149769200
5/1/2017,151.910004,164.75,151.610001,163.070007,163.070007,116795800
6/1/2017,163.520004,166.869995,147.300003,149.410004,149.410004,135675800
7/1/2017,149.800003,191.5,144.25,181.660004,181.660004,185144700
8/1/2017,182.490005,184.619995,164.229996,174.710007,174.710007,136523100
9/1/2017,175.550003,189.949997,172.440002,181.350006,181.350006,111427900
10/1/2017,182.110001,204.380005,176.580002,196.429993,196.429993,208657800
11/1/2017,197.240005,202.479996,184.320007,195.509995,195.509995,161719700
12/1/2017,186.990005,194.490005,178.380005,191.960007,191.960007,115103700
